name, artist, album, genre, played
Un Homme Et Une Femme,Yiruma,Missing You,New Age,30
Tears On Love,Yiruma,Missing You,New Age,30
Sooha Saaha-StarMusiQ.Com,"Zeb, Alia Bhatt",Highway,StarMusiQ.Com,30
"The Humma Song (From ""OK Jaanu"")","A. R. Rahman, Badshah, Tanishk Bagchi, Shashaa Tirupati & Jubin Nautyal","The Humma Song (From ""OK Jaanu"") - Single",Bollywood,29
Pal Pal Hai Bhaari (Flute),A.R. Rahman,Swades,Indian Film Pop,29
Mangalayam,A.R.Rahman,Saathiya,A.R.Rahman - Hindi,29
Someone Like You,Adele,21,Pop,29
Best Day Of My Life [Single Version],American Authors,So Fresh: The Hits Of Autumn 2014,Indie Rock,29
Into You,Ariana Grande,Dangerous Woman,Pop,29
This Is What You Came For (feat. Rihanna),Calvin Harris,This Is What You Came For (feat. Rihanna) - Single,Dance,29
My Melancholy Baby,Canadian Brass,Amazing Brass,Easy Listening,29
Safe And Sound,Capital Cities,Capital Cities [EP],Electronica Mainstream,29
Bernstein: West Side Story Suite - America,Eric Crees: Philip Jones Brass Ensemble,Brass Band Spectacular,Other Classical,29
Who We Are,Imagine Dragons,The Hunger Games: Catching Fire (Original Motion Picture Soundtrack) [Deluxe Edition],Soundtrack,29
Track 15,M L Vasanthakumari,Thiruppavai Vol 1,Genre,29
Track 01,M S Subbulakshmi,The Golden Collection - MS Vol 2,Carnatic,29
Piano Concerto No. 21 In C Major (Elvira Madigan),Mozart,The Most Relaxing Classical Album In The World Ever,Classical,29
Engae Pogudho Vaanam-StarMusiQ.Com,S.P.B,Kochadaiyaan,StarMusiQ.Com,29
Falling Away (feat. Lights),Seven Lions,Falling Away (feat. Lights) - Single,Dance,29
Overture,Yiruma,Missing You,New Age,29
Memories in my eyes,Yiruma,Missing You,New Age,29
Nothing to say (Just wanna say),Yiruma,Missing You,New Age,29
Cinema Paradiso: Nostalgia,Yo-Yo Ma,Yo-Yo Ma Plays Ennio Morricone,Neo-Classical,29
Cinema Paradiso: Looking For You,Yo-Yo Ma,Yo-Yo Ma Plays Ennio Morricone,Neo-Classical,29
Once Upon A Time In America: Deborah's Theme,Yo-Yo Ma,Yo-Yo Ma Plays Ennio Morricone,Neo-Classical,29
The Humma Song,"A. R. Rahman, Badshah, Tanishk Bagchi, Shashaa Tirupati & Jubin Nautyal",OK Jaanu (Original Motion Picture Soundtrack),Bollywood,28
Someone Like You (Live Acoustic),Adele,21,Pop,28
Dol Dol,"Blaaze, Shaheen Badar",Yuva,A.R.Rahman - Hindi,28
After The Love,Brian McKnight,You're The Inspiration: The Music Of David Foster & Friends,Pop,28
Everglow,Coldplay,A Head Full of Dreams,Alternative,28
